date,count
2018-06-20,0
2018-06-20,0
2018-06-20,0
2018-06-20,0
2018-06-20,2
2018-06-20,6
2018-06-20,6
2018-06-20,5
2018-06-20,34
2018-06-20,33
2018-06-20,71
2018-06-20,216
2018-06-20,389
2018-06-20,415
2018-06-20,435
2018-06-20,301
2018-06-20,125
2018-06-20,36
2018-06-20,12
2018-06-20,1
2018-06-20,0
2018-06-20,2
2018-06-20,3
2018-06-21,0
2018-06-21,0
2018-06-21,0
2018-06-21,0
2018-06-21,5
2018-06-21,5
2018-06-21,9
2018-06-21,13
2018-06-21,47
2018-06-21,70
2018-06-21,194
2018-06-21,359
2018-06-21,559
2018-06-21,566
2018-06-21,521
2018-06-21,394
2018-06-21,143
2018-06-21,27
2018-06-21,9
2018-06-21,62
2018-06-21,9
2018-06-21,8
2018-06-21,3
2018-06-22,0
2018-06-22,3
2018-06-22,0
2018-06-22,1
2018-06-22,61
2018-06-22,39
2018-06-22,35
2018-06-22,20
2018-06-22,62
2018-06-22,121
2018-06-22,253
2018-06-22,421
2018-06-22,646
2018-06-22,755
2018-06-22,644
2018-06-22,434
2018-06-22,238
2018-06-22,98
2018-06-22,7
2018-06-22,7
2018-06-22,0
2018-06-22,0
2018-06-22,2
2018-06-23,0
2018-06-23,0
2018-06-23,0
2018-06-23,0
2018-06-23,4
2018-06-23,14
2018-06-23,24
2018-06-23,26
2018-06-23,58
2018-06-23,305
2018-06-23,647
2018-06-23,1207
2018-06-23,1194
2018-06-23,1421
2018-06-23,1483
2018-06-23,1082
2018-06-23,567
2018-06-23,152
2018-06-23,20
2018-06-23,3
2018-06-23,2
2018-06-23,0
2018-06-23,2
2018-06-24,1
2018-06-24,0
2018-06-24,0
2018-06-24,0
2018-06-24,12
2018-06-24,56
2018-06-24,69
2018-06-24,99
2018-06-24,127
2018-06-24,747
2018-06-24,1121
2018-06-24,1527
2018-06-24,1518
2018-06-24,1418
2018-06-24,1326
2018-06-24,900
2018-06-24,408
2018-06-24,188
2018-06-24,26
2018-06-24,0
2018-06-24,1
2018-06-24,0
2018-06-24,1
2018-06-25,0
2018-06-25,0
2018-06-25,1
2018-06-25,0
2018-06-25,1
2018-06-25,9
2018-06-25,5
2018-06-25,25
2018-06-25,70
2018-06-25,179
2018-06-25,409
2018-06-25,609
2018-06-25,685
2018-06-25,788
2018-06-25,389
2018-06-25,293
2018-06-25,225
2018-06-25,70
2018-06-25,12
2018-06-25,43
2018-06-25,33
2018-06-25,27
2018-06-25,0
2018-06-26,0
2018-06-26,0
2018-06-26,0
2018-06-26,0
2018-06-26,5
2018-06-26,20
2018-06-26,10
2018-06-26,6
2018-06-26,35
2018-06-26,136
2018-06-26,207
2018-06-26,332
2018-06-26,570
2018-06-26,625
2018-06-26,498
2018-06-26,337
2018-06-26,217
2018-06-26,78
2018-06-26,2
2018-06-26,3
2018-06-26,3
2018-06-26,1
2018-06-26,2
2018-06-26,1
2018-06-27,0
2018-06-27,1
2018-06-27,0
2018-06-27,0
2018-06-27,5
2018-06-27,22
2018-06-27,19
2018-06-27,19
2018-06-27,49
2018-06-27,95
2018-06-27,264
2018-06-27,350
2018-06-27,489
2018-06-27,542
2018-06-27,376
2018-06-27,221
2018-06-27,181
2018-06-27,54
2018-06-27,12
2018-06-27,7
2018-06-27,2
2018-06-27,0
2018-06-27,1
2018-06-28,0
2018-06-28,0
2018-06-28,0
2018-06-28,0
2018-06-28,1
2018-06-28,10
2018-06-28,14
2018-06-28,1
2018-06-28,31
2018-06-28,97
2018-06-28,217
2018-06-28,279
2018-06-28,475
2018-06-28,523
2018-06-28,280
2018-06-28,275
2018-06-28,164
2018-06-28,67
2018-06-28,7
2018-06-28,2
2018-06-28,0
2018-06-28,4
2018-06-28,0
2018-06-28,0
2018-06-29,1
2018-06-29,0
2018-06-29,0
2018-06-29,0
2018-06-29,0
2018-06-29,8
2018-06-29,3
2018-06-29,14
2018-06-29,22
2018-06-29,75
2018-06-29,139
2018-06-29,291
2018-06-29,565
2018-06-29,643
2018-06-29,567
2018-06-29,311
2018-06-29,256
2018-06-29,64
2018-06-29,6
2018-06-29,0
2018-06-29,0
2018-06-29,0
2018-06-29,1
2018-06-30,2
2018-06-30,0
2018-06-30,0
2018-06-30,0
2018-06-30,1
2018-06-30,24
2018-06-30,14
2018-06-30,33
2018-06-30,97
2018-06-30,348
2018-06-30,624
2018-06-30,803
2018-06-30,1048
2018-06-30,1114
2018-06-30,1071
2018-06-30,855
2018-06-30,608
2018-06-30,237
2018-06-30,46
2018-06-30,9
2018-06-30,3
2018-06-30,5
2018-06-30,2
2018-07-01,3
2018-07-01,3
2018-07-01,5
2018-07-01,23
2018-07-01,147
2018-07-01,455
2018-07-01,625
2018-07-01,871
2018-07-01,757
2018-07-01,813
2018-07-01,841
2018-07-01,1282
2018-07-01,1036
2018-07-01,1425
2018-07-01,1227
2018-07-01,926
2018-07-01,597
2018-07-01,264
2018-07-01,56
2018-07-01,5
2018-07-01,8
2018-07-01,1
2018-07-01,2
2018-07-02,1
2018-07-02,0
2018-07-02,0
2018-07-02,0
2018-07-02,10
2018-07-02,24
2018-07-02,1
2018-07-02,10
2018-07-02,48
2018-07-02,97
2018-07-02,229
2018-07-02,476
2018-07-02,619
2018-07-02,663
2018-07-02,451
2018-07-02,276
2018-07-02,189
2018-07-02,93
2018-07-02,11
2018-07-02,7
2018-07-02,1
2018-07-02,4
2018-07-02,2
2018-07-03,0
2018-07-03,0
2018-07-03,0
2018-07-03,0
2018-07-03,24
2018-07-03,15
2018-07-03,8
2018-07-03,5
2018-07-03,22
2018-07-03,92
2018-07-03,203
2018-07-03,322
2018-07-03,487
2018-07-03,461
2018-07-03,496
2018-07-03,322
2018-07-03,213
2018-07-03,40
2018-07-03,12
2018-07-03,4
2018-07-03,0
2018-07-03,2
2018-07-03,1
2018-07-04,1
2018-07-04,0
2018-07-04,0
2018-07-04,0
2018-07-04,5
2018-07-04,7
2018-07-04,5
2018-07-04,8
2018-07-04,28
2018-07-04,38
2018-07-04,81
2018-07-04,220
2018-07-04,324
2018-07-04,468
2018-07-04,443
2018-07-04,265
2018-07-04,92
2018-07-04,26
2018-07-04,3
2018-07-04,1
2018-07-04,0
2018-07-04,0
2018-07-04,2
2018-07-05,0
2018-07-05,0
2018-07-05,0
2018-07-05,0
2018-07-05,8
2018-07-05,16
2018-07-05,3
2018-07-05,24
2018-07-05,13
2018-07-05,59
2018-07-05,97
2018-07-05,204
2018-07-05,326
2018-07-05,416
2018-07-05,408
2018-07-05,353
2018-07-05,155
2018-07-05,33
2018-07-05,1
2018-07-05,4
2018-07-05,0
2018-07-05,6
2018-07-05,0
2018-07-06,0
2018-07-06,0
2018-07-06,0
2018-07-06,0
2018-07-06,2
2018-07-06,4
2018-07-06,4
2018-07-06,16
2018-07-06,18
2018-07-06,51
2018-07-06,128
2018-07-06,266
2018-07-06,335
2018-07-06,485
2018-07-06,412
2018-07-06,316
2018-07-06,236
2018-07-06,87
2018-07-06,11
2018-07-06,0
2018-07-06,3
2018-07-06,6
2018-07-06,1
2018-07-07,0
2018-07-07,0
2018-07-07,0
2018-07-07,0
2018-07-07,7
2018-07-07,4
2018-07-07,10
2018-07-07,15
2018-07-07,89
2018-07-07,138
2018-07-07,444
2018-07-07,775
2018-07-07,911
2018-07-07,972
2018-07-07,934
2018-07-07,613
2018-07-07,428
2018-07-07,85
2018-07-07,2
2018-07-07,3
2018-07-07,5
